# ================================================================================================
#  This file contains the simulation data for a simulation of gravity between n bodies 
#  The first line contains the defining charachterisitics of the bodies with 6 columns for each
#  Every subsequent line contains their position and velocities 
# ================================================================================================
#
#name,mass,radius,colour,_,_,name,mass,radius,colour,_,_,name,mass,radius,colour,_,_,
figure_eight_1,0.3333333333333333,0.5,89819B,0,0,figure_eight_2,0.3333333333333333,0.5,6180C0,0,0,figure_eight_3,0.3333333333333333,0.5,85437C,0,0
#x,y,z,vx,vy,vz,x,y,z,vx,vy,vz,x,y,z,vx,vy,vz,
0.97000436,-0.24308753,0.0,0.466203685,0.43236573,0.0,-0.97000436,0.24308753,0.0,0.466203685,0.43236573,0.0,0.0,0.0,0.0,-0.93240737,-0.86473146,0.0
1.0108332742949113,-0.19863458522397462,0.0,0.35304977348201255,0.4540367224312194,0.0,-0.9170555444864272,0.28441735461968215,0.0,0.5953279498191504,0.3898875523361477,0.0,-0.0937777298084841,-0.08578276939570756,0.0,-0.948377723301163,-0.8439242747673671,0.0
1.0411187155071477,-0.15268230366885485,0.0,0.25496668295279806,0.463548931900674,0.0,-0.8505121476965268,0.3199965771478337,0.0,0.7369949859605568,0.31533084889601193,0.0,-0.19060656781062094,-0.16731427347897887,0.0,-0.991961668913355,-0.778879780796686,0.0
1.0622338957183601,-0.10613224955003976,0.0,0.16908092011883558,0.4667635604655197,0.0,-0.7695940410740878,0.3460253241840562,0.0,0.8801965664014977,0.19722203420217665,0.0,-0.29263985464427233,-0.23989307463401646,0.0,-1.0492774865203334,-0.6639855946676964,0.0
1.0752218498866177,-0.059416521959668275,0.0,0.09179887737592284,0.46731688734832816,0.0,-0.675095218537735,0.3577995176349395,0.0,1.0045321080379512,0.030410503637248162,0.0,-0.40012663134888277,-0.2983829956752713,0.0,-1.0963309854138743,-0.4977273909855764,0.0
1.0807545154238702,-0.012689258815459657,0.0,0.01934212133727574,0.46721915305670525,0.0,-0.5701541664176388,0.3508073629864726,0.0,1.08520019024916,-0.1747181607051812,0.0,-0.5106003490062315,-0.33811810417101307,0.0,-1.104542311586436,-0.29250099235152416,0.0
1.079124595152519,0.03403333281410134,0.0,-0.05208481811809014,0.46726874887306385,0.0,-0.4600370209510727,0.32252565700880514,0.0,1.1072402692970238,-0.3895331481053479,0.0,-0.6190875742014464,-0.3565589898229067,0.0,-1.0551554511789343,-0.07773560076771611,0.0
1.070245469723917,0.08076285897520666,0.0,-0.12627455640218518,0.4672342058506603,0.0,-0.3504384936683433,0.273738657505111,0.0,1.0779631516396162,-0.5796832443464331,0.0,-0.7198069760555739,-0.35450151648031786,0.0,-0.9516885952374315,0.1124490384957728,0.0
1.0536510332772075,0.12743502551182082,0.0,-0.20702249075130552,0.46580036178199485,0.0,-0.24531204396747752,0.2081724314628914,0.0,1.022706904714406,-0.7229641996887854,0.0,-0.8083389893097301,-0.33560745697471245,0.0,-0.815684413963101,0.2571638379067905,0.0
1.0284976775667665,0.17378874759618246,0.0,-0.29805901358340137,0.4602788492830681,0.0,-0.1458259256966969,0.13088355365954557,0.0,0.9692703228013131,-0.8144296453886098,0.0,-0.8826717518700696,-0.30467230125572825,0.0,-0.6712113092179122,0.3541507961055418,0.0
0.9935829322147822,0.2192049546758745,0.0,-0.40274886473856086,0.44609769750122646,0.0,-0.05073434354656231,0.046861184181394296,0.0,0.9371918022537146,-0.8586423603952903,0.0,-0.94284858866822,-0.26606613885726904,0.0,-0.534442937515154,0.41254466289406383,0.0
